"ELECTION_DATE","ELECTION_NAME","CONTEST_ID","CONTEST_NAME","PRECINCT_NUMBER","WARD","CANDIDATE","PARTY","VOTES"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","19","5","REGISTERED VOTERS - TOTAL WARD 5","","5067"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","19","5","BALLOTS CAST - TOTAL WARD 5","","727"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","John C. Cheeks","NOP","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Rae Zapata","DEM","14"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Ruth E. Marshall","DEM","4"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Tim Day","REP","56"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Delano Hunter","DEM","92"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Drew E. Hubbard","DEM","14"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Amanda Broadnax","DEM","0"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Kenyan McDuffie","DEM","493"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Shelly Gardner","DEM","4"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Kathy Henderson","DEM","7"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Ron L. Magnus","DEM","22"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","Frank Wilds","DEM","18"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","19","5","WRITE-IN","NON","1"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","44","5","REGISTERED VOTERS - TOTAL WARD 5","","3748"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","44","5","BALLOTS CAST - TOTAL WARD 5","","380"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","John C. Cheeks","NOP","5"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Rae Zapata","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Ruth E. Marshall","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Tim Day","REP","41"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Delano Hunter","DEM","52"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Drew E. Hubbard","DEM","8"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Amanda Broadnax","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Kenyan McDuffie","DEM","140"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Shelly Gardner","DEM","16"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Kathy Henderson","DEM","7"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Ron L. Magnus","DEM","18"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","Frank Wilds","DEM","81"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","44","5","WRITE-IN","NON","2"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","66","5","REGISTERED VOTERS - TOTAL WARD 5","","5496"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","66","5","BALLOTS CAST - TOTAL WARD 5","","1220"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","John C. Cheeks","NOP","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Rae Zapata","DEM","11"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Ruth E. Marshall","DEM","6"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Tim Day","REP","45"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Delano Hunter","DEM","141"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Drew E. Hubbard","DEM","25"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Amanda Broadnax","DEM","1"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Kenyan McDuffie","DEM","372"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Shelly Gardner","DEM","46"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Kathy Henderson","DEM","27"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Ron L. Magnus","DEM","57"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","Frank Wilds","DEM","475"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","66","5","WRITE-IN","NON","5"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","67","5","REGISTERED VOTERS - TOTAL WARD 5","","3656"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","67","5","BALLOTS CAST - TOTAL WARD 5","","924"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","John C. Cheeks","NOP","12"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Rae Zapata","DEM","27"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Ruth E. Marshall","DEM","37"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Tim Day","REP","42"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Delano Hunter","DEM","109"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Drew E. Hubbard","DEM","19"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Amanda Broadnax","DEM","6"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Kenyan McDuffie","DEM","349"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Shelly Gardner","DEM","32"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Kathy Henderson","DEM","8"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Ron L. Magnus","DEM","63"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","Frank Wilds","DEM","217"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","67","5","WRITE-IN","NON","2"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","68","5","REGISTERED VOTERS - TOTAL WARD 5","","2518"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","68","5","BALLOTS CAST - TOTAL WARD 5","","606"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","John C. Cheeks","NOP","7"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Rae Zapata","DEM","16"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Ruth E. Marshall","DEM","3"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Tim Day","REP","68"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Delano Hunter","DEM","43"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Drew E. Hubbard","DEM","14"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Amanda Broadnax","DEM","1"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Kenyan McDuffie","DEM","331"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Shelly Gardner","DEM","21"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Kathy Henderson","DEM","6"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Ron L. Magnus","DEM","29"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","Frank Wilds","DEM","66"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","68","5","WRITE-IN","NON","1"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","69","5","REGISTERED VOTERS - TOTAL WARD 5","","2667"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","69","5","BALLOTS CAST - TOTAL WARD 5","","649"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","John C. Cheeks","NOP","0"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Rae Zapata","DEM","16"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Ruth E. Marshall","DEM","3"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Tim Day","REP","29"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Delano Hunter","DEM","117"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Drew E. Hubbard","DEM","19"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Amanda Broadnax","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Kenyan McDuffie","DEM","263"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Shelly Gardner","DEM","13"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Kathy Henderson","DEM","9"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Ron L. Magnus","DEM","19"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","Frank Wilds","DEM","153"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","69","5","WRITE-IN","NON","0"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","70","5","REGISTERED VOTERS - TOTAL WARD 5","","1952"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","70","5","BALLOTS CAST - TOTAL WARD 5","","474"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","John C. Cheeks","NOP","1"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Rae Zapata","DEM","7"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Ruth E. Marshall","DEM","0"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Tim Day","REP","32"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Delano Hunter","DEM","85"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Drew E. Hubbard","DEM","10"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Amanda Broadnax","DEM","0"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Kenyan McDuffie","DEM","266"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Shelly Gardner","DEM","13"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Kathy Henderson","DEM","5"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Ron L. Magnus","DEM","14"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","Frank Wilds","DEM","35"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","70","5","WRITE-IN","NON","5"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","71","5","REGISTERED VOTERS - TOTAL WARD 5","","3016"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","71","5","BALLOTS CAST - TOTAL WARD 5","","673"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","John C. Cheeks","NOP","3"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Rae Zapata","DEM","11"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Ruth E. Marshall","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Tim Day","REP","28"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Delano Hunter","DEM","273"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Drew E. Hubbard","DEM","23"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Amanda Broadnax","DEM","0"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Kenyan McDuffie","DEM","230"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Shelly Gardner","DEM","29"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Kathy Henderson","DEM","6"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Ron L. Magnus","DEM","11"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","Frank Wilds","DEM","53"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","71","5","WRITE-IN","NON","3"
"5/15/2012","D.C. Special Election","101","REGISTERED VOTERS - TOTAL WARD 5","72","5","REGISTERED VOTERS - TOTAL WARD 5","","5340"
"5/15/2012","D.C. Special Election","102","BALLOTS CAST - TOTAL WARD 5","72","5","BALLOTS CAST - TOTAL WARD 5","","756"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","John C. Cheeks","NOP","5"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Rae Zapata","DEM","15"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Ruth E. Marshall","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Tim Day","REP","34"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Delano Hunter","DEM","319"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Drew E. Hubbard","DEM","13"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Amanda Broadnax","DEM","2"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Kenyan McDuffie","DEM","203"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Shelly Gardner","DEM","27"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Kathy Henderson","DEM","12"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Ron L. Magnus","DEM","33"
"5/15/2012","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FIVE","72","5","Frank Wilds","DEM","89"
